# Rare upkeep settings
@b2_rare_upkeep_guardrail = 2
@b3_rare_upkeep_guardrail = 3
@b4_rare_upkeep_guardrail = 5
@b5_rare_upkeep_guardrail = 4

@danger_of_deficit_modifier_factor = 0.01

# Economic plans target
@stellarai_early_economic_plan_research_target = 250
@stellarai_early_economic_plan_research_focus_target = 100
@stellarai_early_economic_plan_scaling_research_limit = 500
@stellarai_early_economic_plan_scaling_research_target = 100

# Re-ignite the AI when spinning its wheels in midgame
@stellarai_additional_research_economic_plan_scaling_research_limit = 800
#@stellarai_additional_research_economic_plan_research_target = 1500
@stellarai_additional_research_economic_plan_scaling_research_target = 100

# Stellarai advanced economy plan
@stellarai_midgame_economic_plan_advanced_research_target = 375
@stellarai_midgame_economic_plan_advanced_research_focus_target = 188
@stellarai_midgame_economic_plan_advanced_scaling_research_limit = 1500
@stellarai_midgame_economic_plan_advanced_scaling_research_target = 100

# Colony type weights
@urban_colony_stickiness = 5
@research_colony_type_stickiness = 10
@industrial_colony_type_stickiness = 10
@industrial_forge_colony_type_stickiness = 10
@bureau_colony_type_stickiness = 5
@mining_colony_type_stickiness = 8
@farming_colony_type_stickiness = 8
@energy_colony_type_stickiness = 10
@fortress_colony_type_stickiness = 5

@very_low_zones_weight = 5
@quite_low_zones_weight = 10
@zone_mining_weight = 100
@zone_urban_research_additional_weight = 150
@zone_urban_bereau_additional_weight = 40

# Energy zone conditional
@zone_energy_conditions_additional_weight = 40
@zone_energy_available_zones_additional_weight = 40

# Shared weights settings
@shared_weight_add_reserach_very_high = 30
@shared_weight_add_reserach_high = 20
@shared_weight_add_reserach_medium = 15
@shared_weight_add_reserach_low = 10

@shared_weight_mult_reserach_very_high = 20
@shared_weight_mult_reserach_high = 15
@shared_weight_mult_reserach_medium = 10

# Research job weights
# @custom_specialist_researcher_job_weight = 20

# @ai_research_specialized_production_tier1 = 15
# @ai_research_specialized_production_tier2 = 30
# @ai_research_specialized_production_tier3 = 60
# @ai_research_specialized_production_tier4 = 90

# Research labs additional weight
@research_lab_building_tier1_additional_ai_weight = 10
